user_id,signup_date,last_active_date,ab_group,session_count
1,2024-01-07,2024-01-10,A,17
2,2024-03-28,2024-06-01,B,15
3,2024-03-11,2024-03-12,A,19
4,2023-12-06,2023-12-26,B,3
5,2023-11-04,2024-01-05,A,22
6,2024-02-25,2024-04-06,A,2
7,2024-01-10,2024-01-21,B,28
8,2023-12-13,2024-02-17,A,22
9,2023-12-23,2024-01-23,B,27
10,2023-10-29,2024-01-19,B,30
11,2023-10-13,2023-11-11,A,12
12,2023-10-18,2023-12-31,B,24
13,2024-01-02,2024-02-23,A,21
14,2023-12-01,2023-12-01,A,19
15,2023-11-19,2023-11-24,A,13
16,2024-03-27,2024-05-15,A,25
17,2024-03-24,2024-05-13,B,28
18,2024-01-09,2024-02-03,A,10
19,2024-02-12,2024-02-28,B,13
20,2023-11-27,2024-02-23,B,25
21,2024-01-12,2024-02-13,A,30
22,2023-12-28,2024-01-17,B,24
23,2023-10-08,2023-12-08,A,29
24,2024-02-21,2024-05-10,A,8
25,2023-12-26,2024-03-17,B,13
26,2023-11-03,2023-11-17,B,21
27,2023-10-30,2023-11-01,A,27
28,2024-01-18,2024-03-03,B,18
29,2024-02-23,2024-04-25,A,9
30,2023-11-27,2024-01-28,B,19
31,2023-10-25,2024-01-11,B,26
32,2024-03-10,2024-04-01,A,6
33,2023-11-11,2023-12-11,B,27
34,2023-11-04,2023-12-28,B,26
35,2023-11-30,2024-01-11,A,4
36,2023-11-13,2023-11-22,A,28
37,2023-11-12,2024-01-12,A,3
38,2023-10-08,2023-10-20,A,20
39,2023-12-18,2024-01-28,B,13
40,2024-02-14,2024-03-07,A,19
41,2024-03-04,2024-03-27,B,19
42,2024-02-16,2024-04-20,B,27
43,2024-03-03,2024-04-19,B,1
44,2023-11-23,2024-02-18,A,10
45,2023-12-24,2024-01-17,B,20
46,2023-11-10,2023-12-11,B,2
47,2024-01-11,2024-02-08,A,27
48,2023-10-01,2023-10-04,B,21
49,2024-02-24,2024-04-09,A,9
50,2024-01-29,2024-03-17,A,17
51,2024-03-31,2024-06-06,A,18
52,2023-12-19,2024-02-20,A,30
53,2023-10-12,2023-12-24,A,12
54,2023-10-06,2023-11-30,A,16
55,2024-02-25,2024-05-07,A,12
56,2024-02-04,2024-05-04,A,6
57,2024-03-23,2024-04-06,B,4
58,2023-12-09,2023-12-29,A,26
59,2024-02-26,2024-05-12,B,28
60,2023-10-08,2023-10-25,A,24
61,2023-12-02,2024-01-30,A,1
62,2024-02-23,2024-03-11,B,1
63,2023-11-12,2023-12-30,B,24
64,2024-03-03,2024-05-22,A,20
65,2024-02-24,2024-04-24,A,15
66,2024-01-30,2024-02-16,B,19
67,2023-10-05,2023-12-31,A,25
68,2024-01-26,2024-04-06,A,6
69,2024-03-27,2024-04-15,B,26
70,2023-10-17,2023-10-19,B,23
71,2024-03-24,2024-04-20,B,24
72,2024-02-21,2024-05-19,B,4
73,2024-02-21,2024-04-05,A,17
74,2024-03-13,2024-03-13,A,13
75,2024-03-06,2024-06-03,B,13
76,2023-12-27,2024-01-26,B,10
77,2023-10-28,2024-01-18,A,27
78,2024-03-04,2024-04-10,A,22
79,2023-10-25,2023-11-18,B,9
80,2024-01-09,2024-02-13,A,23
81,2023-10-29,2024-01-06,B,24
82,2024-02-14,2024-05-03,B,1
83,2024-03-30,2024-06-01,A,7
84,2023-11-02,2024-01-29,A,28
85,2024-02-18,2024-05-16,A,10
86,2023-10-29,2024-01-01,A,11
87,2024-03-19,2024-06-10,B,2
88,2023-12-30,2024-02-17,A,13
89,2023-11-13,2023-11-28,B,21
90,2024-03-13,2024-04-21,A,18
91,2023-10-07,2023-12-09,B,26
92,2023-10-01,2023-12-14,A,23
93,2023-11-29,2023-12-08,A,4
94,2023-12-24,2024-01-08,A,5
95,2023-10-15,2023-12-27,A,21
96,2023-11-17,2023-12-04,A,11
97,2023-12-13,2024-02-22,B,5
98,2023-10-28,2023-12-01,B,21
99,2023-12-24,2024-02-26,A,9
100,2023-12-09,2024-01-29,B,25
101,2023-12-07,2024-01-20,B,27
102,2023-11-08,2023-11-17,A,21
103,2024-01-03,2024-02-05,A,13
104,2024-02-12,2024-04-19,B,26
105,2023-11-09,2023-12-28,A,24
106,2024-02-20,2024-04-26,A,29
107,2023-11-02,2023-12-09,B,3
108,2023-11-14,2024-01-24,B,8
109,2024-01-13,2024-03-14,A,30
110,2024-04-01,2024-05-03,B,11
111,2024-02-04,2024-04-07,A,5
112,2023-12-06,2024-02-18,A,7
113,2024-01-20,2024-03-01,B,24
114,2024-03-12,2024-03-21,B,5
115,2024-03-27,2024-04-20,A,16
116,2024-02-27,2024-05-18,A,8
117,2024-03-25,2024-05-29,B,22
